Donor,molecule,interacting halogen,ortho,meta,para,V$_{S}$$_{max}$,V$_{max}$(r),R$^{donor}_{C-X}$,k$^{a}$$^{donor}$$_{C-X}$,$\mu^{donor}_{C-X}$,Complex Symmetry,R$^{complex}_{C-X}$,$\Delta$R$_{C-X}$,k$^{a}$$^{complex}$$_{C-X}$,$\Delta$k$^{a}_{C-X}$,$\mu^{complex}_{C-X}$,R$_{X\cdots N}$,k$^{a}_{X\cdots N}$,$\mu_{X\cdots N}$,$\rho^{BCP}$,G(r)$^{BCP}$,K(r)$^{BCP}$,V(r)$^{BCP}$,$\nabla^{2} \rho^{BCP}$,H(r)$^{BCP}$,RDG,sign$\lambda_{2}* \rho$,E$_{int}$,E$_{bind}$,E$^{CP}_{int}$,E$^{CP}_{bind}$,E$^{donor}_{def}$,E$^{NH_3}_{def}$,E(2),$\Delta \rho$
2-6_opp_H_3-5-OHBBr,c1(O)c(O)c(O)c(O)c(O)c1(Br),Br,OH,OH,H,22.4,2.049342868,1.9061,2.992,-6.74,C1,1.9075,0.0014,3.002,0.01,-5.064,3.0367,0.13,-10.3,0.014,0.00981,-0.00127,-0.00854,0.0443,0.00127,1.56E-06,-0.014,-3.92,-3.879335642,-3.55,-3.50955011,0.040661988,-0.000212098,4.35,-0.01764
2-6_opp_H_3-5-SHBBr,c1(S)c(S)c(S)c(S)c(S)c1(Br),Br,SH,SH,H,19.8,2.047599056,1.9021,2.948,-7.335,Cs,1.9047,0.0026,2.929,-0.019,-5.667,3.0239,0.134,-10.425,0.0143,0.01,-0.00128,-0.00877,0.0453,0.00128,1.88E-06,-0.0143,-3.83,-3.771993239,-3.45,-3.395478649,0.054097594,0.000423757,4.5,-0.0184
2-6_SH_3-5_BH2_4_CNBBr,c1(S)c(B)c(C#N)c(B)c(S)c1(Br),Br,SH,BH2,CN,27.2,2.035058,1.8831,3.235,-8.725,C1,1.8852,0.0021,3.216,-0.019,-7.034,2.9883,0.149,-10.684,0.0152,0.0108,-0.00131,-0.00945,0.0483,0.00131,1.19E-06,-0.0152,-4.43,-4.378002005,-4.04,-3.986926188,0.05316888,-9.51E-05,5.16,-0.02097
2-6_SH_3-5_BH2_4_FBBr,c1(S)c(B)c(F)c(B)c(S)c1(Br),Br,SH,BH2,F,22.1,2.039201618,1.8862,3.232,-7.284,C1,1.8884,0.0022,3.219,-0.013,-5.623,3.0073,0.14,-10.516,0.0147,0.0104,-0.0013,-0.00906,0.0467,0.0013,1.50E-06,-0.0147,-3.89,-3.834392784,-3.51,-3.457472748,0.052033088,0.000494164,4.84,-0.01919
2-6_SH_3-5_BH2_4_NO2BBr,c1(S)c(B)c(N(=O)=O)c(B)c(S)c1(Br),Br,SH,BH2,NO2,26,2.043116459,1.8957,3.009,-9.019,C1,1.8966,0.0009,3.011,0.002,-7.639,3.0057,0.145,-10.378,0.0148,0.0104,-0.0013,-0.00913,0.0469,0.0013,3.05E-06,-0.0148,-4.36,-4.315259589,-3.98,-3.931933149,0.048261756,-0.000194904,4.61,-0.02091
2-6_SH_3-5_CN_4_NO2BBr,c1(S)c(C#N)c(N(=O)=O)c(C#N)c(S)c1(Br),Br,SH,CN,NO2,39.7,2.031145874,1.8981,3.029,-7.207,C1,1.9018,0.0037,2.982,-0.047,-5.165,2.9518,0.162,-11.044,0.0165,0.0116,-0.00132,-0.0103,0.0517,0.00132,9.07E-07,-0.0165,-5.98,-5.924018244,-5.55,-5.498773074,0.050941221,0.000285705,5.62,-0.02682
2-6_SH_3-5_F_4_NO2BBr,c1(S)c(F)c(N(=O)=O)c(F)c(S)c1(Br),Br,SH,F,NO2,33.1,2.036302087,1.8965,3.053,-7.094,C1,1.8994,0.0029,3.022,-0.031,-5.368,2.9766,0.156,-10.649,0.0157,0.011,-0.00131,-0.00973,0.0494,0.00131,1.65E-06,-0.0157,-5.2,-5.153173024,-4.79,-4.74500851,0.045130483,-0.000138993,5.13,-0.02401
2-6_SH_3-5_NH2_4_CNBBr,c1(S)c(N)c(C#N)c(N)c(S)c1(Br),Br,SH,NH2,CN,15.4,2.043193569,1.8968,3.04,-8.495,C1,1.898,0.0012,3.034,-0.006,-7.19,3.0238,0.13,-10.224,0.0142,0.01,-0.00129,-0.00871,0.0452,0.00129,5.71E-07,-0.0142,-3.24,-3.204906629,-2.87,-2.836826836,0.030804441,0.002368723,1.2,-0.01707
2-6_SH_3-5_NH2_4_FBBr,c1(S)c(N)c(F)c(N)c(S)c1(Br),Br,SH,NH2,F,13.5,2.049628549,1.9001,3.017,-6.996,Cs,1.9016,0.0015,3.023,0.006,-5.593,3.0453,0.119,-10.049,0.0136,0.00955,-0.00126,-0.00829,0.0432,0.00126,3.49E-06,-0.0136,-3.12,-3.054166297,-2.77,-2.70896761,0.059519276,0.001513114,4.05,-0.0161
2-6_SH_3-5_NH2_4_NO2BBr,c1(S)c(N)c(N(=O)=O)c(N)c(S)c1(Br),Br,SH,NH2,NO2,16.8,2.042030476,1.8968,3.024,-9.043,C1,1.8981,0.0013,3.015,-0.009,-7.708,3.0159,0.134,-10.253,0.0144,0.0102,-0.0013,-0.00887,0.0459,0.0013,7.36E-07,-0.0144,-3.41,-3.367575916,-3.03,-2.986822264,0.041064222,0.002113515,15.4,-0.01821
2-6_SH_3-5_NO2_4_CNBBr,c1(S)c(N(=O)=O)c(C#N)c(N(=O)=O)c(S)c1(Br),Br,SH,NO2,CN,38.8,2.028583144,1.8941,3.061,-7.447,Cs,1.8985,0.0044,2.988,-0.073,-5.396,2.943,0.162,-11.044,0.0167,0.0118,-0.00133,-0.0105,0.0525,0.00133,1.78E-06,-0.0167,-5.96,-5.912221065,-5.55,-5.499525646,0.050815719,-0.000341365,5.76,-0.02729
2-6_SH_3-5_NO2_4_FBBr,c1(S)c(N(=O)=O)c(F)c(N(=O)=O)c(S)c1(Br),Br,SH,NO2,F,34.8,2.031573608,1.8985,3.025,-6.295,Cs,1.9031,0.0046,2.969,-0.056,-4.258,2.9599,0.158,-10.91,0.0161,0.0114,-0.00133,-0.0101,0.0509,0.00133,1.31E-06,-0.0161,-5.49,-5.435100492,-5.08,-5.023095744,0.057316718,-0.000412462,5.45,-0.02559
2-6_SH_4_NH2_3-5_CNBBr,c1(S)c(C#N)c(N)c(C#N)c(S)c1(Br),Br,SH,CN,NH2,29.1,2.041051441,1.9032,2.995,-5.04,C1,1.9058,0.0026,2.984,-0.011,-3.209,2.9968,0.149,-10.898,0.0151,0.0106,-0.0013,-0.00932,0.0477,0.0013,4.72E-07,-0.0151,-4.71,-4.665064759,-4.3,-4.258690359,0.041522304,-0.000212663,5,-0.02098
2-6_SH_4_NH2_3-5_FBBr,c1(S)c(F)c(N)c(F)c(S)c1(Br),Br,SH,F,NH2,21.7,2.047270233,1.9015,3.014,-4.86,C1,1.9035,0.002,3.013,-0.001,-3.36,3.0239,0.135,-10.406,0.0143,0.0101,-0.00128,-0.00878,0.0454,0.00128,1.22E-06,-0.0143,-3.92,-3.879893498,-3.54,-3.502020364,0.038077277,-9.76E-05,4.53,-0.01847
2-6-BH2BBr,c1(B)cccc(B)c1(Br),Br,BH2,H,H,10.3,2.059673946,1.9118,2.807,-10.679,C1,1.91,-0.0018,2.854,0.047,-9.691,3.0716,0.109,-9.47,0.013,0.00913,-0.00123,-0.0079,0.0415,0.00123,5.83E-07,-0.013,-2.62,-2.590264839,-2.25,-2.217372267,0.030114181,0.002513552,3.9,-0.01526
2-6-CF3BBr,c1(C(F)(F)F)cccc(C(F)(F)F)c1(Br),Br,CF3,H,H,19.3,2.027582662,1.8952,3.141,-8.435,C1,1.8994,0.0042,3.069,-0.072,-6.689,2.9617,0.153,-10.502,0.015897938,0.011335313,-0.00135617,-0.009979143,0.050765928,0.00135617,9.04E-07,-0.015897938,-4.29,-4.243949409,-3.84,-3.790985547,0.046228625,0.002785828,5.32,-0.02417
2-6-CH3BBr,c1(C)cccc(C)c1(Br),Br,CH3,H,H,9.1,2.066242915,1.914,2.833,-8.728,Cs,1.9124,-0.0016,2.892,0.059,-7.649,3.1122,0.099,-9.467,0.0121,0.00846,-0.00119,-0.00727,0.0386,0.00119,3.08E-06,-0.0121,-2.21,-2.180716998,-1.86,-1.831992996,0.026158989,0.001848015,3.43,-0.01293
2-6-CHOBBr,c1(C(=O))cccc(C(=O))c1(Br),Br,CHO,H,H,23.2,2.046896453,1.9149,2.836,-9.131,C1,1.9156,0.0007,2.849,0.013,-7.658,3.016,0.139,-10.109,0.014536238,0.010225982,-0.00128099,-0.008944993,0.046027889,0.00128099,1.54E-06,-0.014536238,-4.09,-4.046598926,-3.7,-3.659599934,0.040434202,-3.41E-05,4.76,-0.01951
2-6-ClBBr,c1(Cl)cccc(Cl)c1(Br),Br,Cl,H,H,17,2.031313416,1.8847,3.276,-6.691,C1,1.889,0.0043,3.213,-0.063,-4.955,2.9882,0.146,-10.417,0.015089824,0.010746035,-0.001341842,-0.009404194,0.048351509,0.001341842,5.63E-07,-0.015089824,-3.74,-3.700576383,-3.34,-3.297243824,0.039915879,0.002840296,5.1,-0.02037
2-6-CNBBr,c1(C#N)cccc(C#N)c1(Br),Br,CN,H,H,23.5,2.020010656,1.8804,3.365,-7.829,C1,1.8852,0.0048,3.267,-0.098,-5.964,2.9319,0.161,-10.587,0.016872172,0.012028937,-0.001369819,-0.010659118,0.053595021,0.001369819,2.29E-06,-0.016872172,-5.07,-5.030525037,-4.63,-4.589626729,0.03812183,0.002251441,6.09,-0.02568
2-6-COOHBBr,c1(C(=O)O)cccc(C(=O)O)c1(Br),Br,COOH,H,H,29.1,2.036674316,1.9171,2.792,-7.89,C1,1.9208,0.0037,2.772,-0.02,-6.034,2.9657,0.158,-10.631,0.016063765,0.011290103,-0.001312972,-0.009977131,0.050412301,0.001312972,4.01E-06,-0.016063765,-5.33,-5.221904139,-4.91,-4.804645547,0.105358845,-4.39E-06,5.59,-0.02416
2-6-FBBr,c1(F)cccc(F)c1(Br),Br,F,H,H,17.6,2.029859197,1.8796,3.428,-6.427,C1,1.8852,0.0056,3.329,-0.099,-4.409,2.9847,0.148,-10.592,0.015167501,0.010816005,-0.001339749,-0.009476255,0.048623016,0.001339749,2.92E-06,-0.015167501,-3.84,-3.802305713,-3.44,-3.397364306,0.039998711,0.002636983,5.16,-0.02059
2-6-NH2BBr,c1(N)cccc(N)c1(Br),Br,NH2,H,H,12.2,2.063736563,1.9103,2.888,-6.956,C1,1.9099,-0.0004,2.936,0.048,-5.696,3.1039,0.103,-9.654,0.0123,0.00856,-0.00119,-0.00737,0.039,0.00119,1.41E-06,-0.0123,-2.56,-2.525507741,-2.22,-2.185552866,0.033574896,0.000872238,3.39,-0.01291
2-6-NO2BBr,c1(N(=O)=O)cccc(N(=O)=O)c1(Br),Br,NO2,H,H,25.5,2.010320645,1.8801,3.344,-6.973,C1,1.8888,0.0087,3.15,-0.194,-4.62,2.8954,0.164,-11.16,0.017999154,0.012891053,-0.001396306,-0.011494747,0.057149433,0.001396306,1.28E-06,-0.017999154,-5.52,-5.451246312,-5.06,-4.989992467,0.066955264,0.003052269,6.68,-0.03069
2-6-OHBBr,c1(O)cccc(O)c1(Br),Br,OH,H,H,22.9,2.052294114,1.9085,2.944,-6.338,C1,1.9093,0.0008,2.97,0.026,-4.69,3.0463,0.125,-10.125,0.0138,0.00964,-0.00126,-0.00838,0.0436,0.00126,1.92E-06,-0.0138,-3.84,-3.798519948,-3.47,-3.432443243,0.037852628,-0.000295871,4.25,-0.01701
2-6-OOCMeBBr,c1(OC(=O)C)cccc(OC(=O)C)c1(Br),Br,OOCMe,H,H,16.5,2.042946569,1.8867,3.254,-6.215,C1,1.8897,0.003,3.224,-0.03,-4.743,3.0307,0.127,-9.933,0.013963957,0.009902335,-0.00128901,-0.008613324,0.044765379,0.00128901,1.03E-07,-0.013963957,-3.34,-3.282014996,-2.91,-2.852124422,0.056519781,0.001355797,4.16,-0.01871
2-6-SHBBr,c1(S)cccc(S)c1(Br),Br,SH,H,H,19.4,2.052265074,1.9047,2.899,-6.586,C1,1.907,0.0023,2.923,0.024,-5.179,3.0435,0.125,-10.02,0.0138,0.00969,-0.00126,-0.00843,0.0438,0.00126,2.02E-06,-0.0138,-3.63,-3.55968795,-3.25,-3.184562807,0.065248438,0.000188755,4.25,-0.01711
3-4-5-BH2BBr,c1c(B)c(B)c(B)cc1(Br),Br,H,BH2,BH2,14.4,2.052659665,1.9035,3.039,-10.225,C1,1.9035,0,3.072,0.033,-8.68,3.0563,0.115,-10.099,0.0134,0.00941,-0.00125,-0.00816,0.0426,0.00125,1.54E-06,-0.0134,-2.96,-2.929098633,-2.6,-2.568627537,0.02988012,0.001492343,4.15,-0.01606
3-4-5-ClBBr,c1c(Cl)c(Cl)c(Cl)cc1(Br),Br,H,Cl,Cl,20.3,2.04046162,1.8956,3.172,-9.87,C1,1.8975,0.0019,3.159,-0.013,-8.154,3.0146,0.136,-10.45,0.014452425,0.010206894,-0.001298852,-0.008908042,0.046022986,0.001298852,2.67E-07,-0.014452425,-3.71,-3.683100243,-3.34,-3.311170394,0.028012024,0.000817582,4.71,-0.01903
3-4-5-CNBBr,c1c(C#N)c(C#N)c(C#N)cc1(Br),Br,H,CN,CN,33.2,2.02617214,1.8877,3.277,-11.184,C1,1.8914,0.0037,3.212,-0.065,-9.227,2.9567,0.158,-10.885,0.016172567,0.011444424,-0.00133355,-0.010110875,0.051111895,0.00133355,1.21E-06,-0.016172567,-5.23,-5.193450976,-4.82,-4.786920335,0.033444374,-0.000364709,5.72,-0.02438
3-4-5-FBBr,c1c(F)c(F)c(F)cc1(Br),Br,H,F,F,20.3,2.040080484,1.8964,3.185,-8.923,C1,1.8987,0.0023,3.165,-0.02,-7.346,3.018,0.135,-10.142,0.014348998,0.010134508,-0.001297577,-0.00883693,0.04572834,0.001297577,1.06E-06,-0.014348998,-3.65,-3.617940912,-3.29,-3.260026444,0.0291999,0.000773656,4.67,-0.01877
3-4-5-NH2BBr,c1c(N)c(N)c(N)cc1(Br),Br,H,NH2,NH2,6.3,2.061063212,1.9061,3.018,-8.729,C1,1.9059,-0.0002,3.057,0.039,-7.499,3.1046,0.099,-9.825,0.0209,0.0316,-0.00873,-0.0228,0.161,0.00873,1.12E-06,0.0209,-2.02,-1.993163194,-1.69,-1.6609438,0.02559925,0.00345695,3.52,-0.01311
3-4-5-OHBBr,c1c(O)c(O)c(O)cc1(Br),Br,H,OH,OH,12.5,2.05246482,1.9024,3.087,-8.302,Cs,1.9031,0.0007,3.106,0.019,-6.953,3.0712,0.109,-9.936,0.013,0.00913,-0.00124,-0.00789,0.0415,0.00124,1.72E-06,-0.013,-2.64,-2.606995497,-2.29,-2.261010316,0.027131001,0.001858683,3.92,-0.01507
3-4-5-SHBBr,c1c(S)c(S)c(S)cc1(Br),Br,H,SH,SH,16.3,2.049244564,1.9006,3.074,-10.78,C1,1.901,0.0004,3.094,0.02,-9.208,3.0449,0.12,-10.254,0.0137,0.00962,-0.00126,-0.00836,0.0435,0.00126,3.16E-07,-0.0137,-3.16,-3.130082396,-2.79,-2.762535352,0.026273823,0.001190825,4.27,-0.01689
3-5-BH2BBr,c1c(B)cc(B)cc1(Br),Br,H,BH2,H,14.6,2.052417294,1.9035,3.035,-10.358,C1,1.9035,0,3.068,0.033,-8.841,3.0553,0.116,-9.98,0.0134,0.00943,-0.00125,-0.00817,0.0427,0.00125,9.68E-07,-0.0134,-2.98,-2.950618444,-2.62,-2.588514272,0.03002382,0.001461909,4.16,-0.01609
3-5-CF3BBr,c1c(C(F)(F)F)cc(C(F)(F)F)cc1(Br),Br,H,CF3,H,22.3,2.038299691,1.8951,3.179,-10.014,C1,1.897,0.0019,3.164,-0.015,-8.366,3.007,0.141,-10.268,0.01467111,0.010365349,-0.001304796,-0.009060553,0.046680582,0.001304796,1.39E-06,-0.01467111,-3.96,-3.92496123,-3.57,-3.535591897,0.033898063,0.00051004,4.84,-0.01957
3-5-CH3BBr,c1c(C)cc(C)cc1(Br),Br,H,CH3,H,8.7,2.059293513,1.9065,2.983,-10.173,C1,1.9058,-0.0007,3.028,0.045,-8.903,3.0933,0.103,-9.674,0.0125,0.00875,-0.00121,-0.00754,0.0398,0.00121,4.19E-07,-0.0125,-2.28,-2.257144518,-1.95,-1.92332865,0.023843478,0.002827872,3.66,-0.01383
3-5-CHOBBr,c1c(C(=O))cc(C(=O))cc1(Br),Br,H,CHO,H,18.2,2.043513043,1.8983,3.118,-10.777,C1,1.8994,0.0011,3.123,0.005,-9.158,3.0219,0.133,-10.167,0.014273835,0.01006747,-0.001287932,-0.008779538,0.045421607,0.001287932,2.03E-06,-0.014273835,-3.58,-3.542211183,-3.2,-3.165529021,0.033418646,0.001052333,4.62,-0.01842
3-5-ClBBr,c1c(Cl)cc(Cl)cc1(Br),Br,H,Cl,H,18.5,2.043265166,1.8977,3.132,-9.984,C1,1.8992,0.0015,3.13,-0.002,-8.334,3.0248,0.131,-10.215,0.014186242,0.010004676,-0.001288623,-0.008716053,0.045173199,0.001288623,9.06E-07,-0.014186242,-3.51,-3.479310258,-3.14,-3.111536044,0.027491191,0.000972765,4.55,-0.01827
3-5-CNBBr,c1c(C#N)cc(C#N)cc1(Br),Br,H,CN,H,26.7,2.033520219,1.8931,3.213,-10.296,C1,1.8959,0.0028,3.178,-0.035,-8.451,2.986,0.15,-10.583,0.015274181,0.010799812,-0.001317329,-0.009482482,0.048468565,0.001317329,6.73E-07,-0.015274181,-4.47,-4.438007349,-4.07,-4.039500403,0.030513904,-1.43E-05,5.2,-0.02153
3-5-COOHBBr,c1c(C(=O)O)cc(C(=O)O)cc1(Br),Br,H,COOH,H,16.4,2.044399301,1.8983,3.129,-10.512,C1,1.8994,0.0011,3.134,0.005,-8.943,3.0282,0.13,-10.184,0.01409483,0.009943893,-0.001283892,-0.008660001,0.044911141,0.001283892,3.67E-06,-0.01409483,-3.41,-3.373242327,-3.03,-2.995511011,0.033076026,0.001412963,4.51,-0.01788
3-5-FBBr,c1c(F)cc(F)cc1(Br),Br,H,F,H,18.1,2.043151794,1.8972,3.149,-9.647,C1,1.8988,0.0016,3.144,-0.005,-8.183,3.0301,0.128,-9.968,0.014036215,0.009897542,-0.00128497,-0.008612572,0.044730047,0.00128497,2.07E-06,-0.014036215,-3.41,-3.381989182,-3.05,-3.020925038,0.027909113,0.00116585,4.48,-0.01782
3-5-NH2BBr,c1c(N)cc(N)cc1(Br),Br,H,NH2,H,7,2.060494061,1.9064,2.991,-10.299,C1,1.9057,-0.0007,3.035,0.044,-9.104,3.0994,0.101,-9.655,0.0123,0.00863,-0.0012,-0.00743,0.0393,0.0012,8.20E-07,-0.0123,-2.14,-2.105038098,-1.81,-1.776832672,0.029976756,0.003190572,3.56,-0.01342
3-5-NO2BBr,c1c(N(=O)=O)cc(N(=O)=O)cc1(Br),Br,H,NO2,H,27.7,2.030362342,1.8917,3.242,-10.379,C1,1.895,0.0033,3.196,-0.046,-8.48,2.9754,0.153,-10.639,0.015574075,0.011023425,-0.001328336,-0.009695089,0.049407048,0.001328336,2.33E-06,-0.015574075,-4.66,-4.624847676,-4.26,-4.225173411,0.034820502,6.09E-06,5.38,-0.02239
3-5-OHBBr,c1c(O)cc(O)cc1(Br),Br,H,OH,H,13.4,2.052578529,1.9026,3.057,-9.654,C1,1.9029,0.0003,3.082,0.025,-8.327,3.0671,0.111,-9.798,0.0131,0.00921,-0.00124,-0.00796,0.0418,0.00124,2.22E-06,-0.0131,-2.75,-2.723046476,-2.4,-2.370221788,0.027959313,0.001818899,3.98,-0.01539
3-5-OOCMeBBr,c1c(OC(=O)C)cc(OC(=O)C)cc1(Br),Br,H,OOCMe,H,11.4,2.050101275,1.9004,3.093,-10.107,C1,1.901,0.0006,3.111,0.018,-8.667,3.0491,0.118,-10.06,0.013539569,0.009536199,-0.001265045,-0.008271153,0.043204977,0.001265045,1.22E-06,-0.013539569,-2.89,-2.851719182,-2.52,-2.480411932,0.036885008,0.00270306,4.18,-0.01635
3-5-SHBBr,c1c(S)cc(S)cc1(Br),Br,H,SH,H,14.9,2.051157031,1.9021,3.057,-10.329,C1,1.9024,0.0003,3.08,0.023,-8.795,3.0531,0.117,-10.084,0.0135,0.00947,-0.00126,-0.00821,0.0429,0.00126,1.98E-06,-0.0135,-2.99,-2.967933941,-2.63,-2.602941539,0.025564737,0.001493724,4.16,-0.01634
4-BH2BBr,c1cc(B)ccc1(Br),Br,H,H,BH2,14.6,2.052534047,1.8998,3.048,-11.415,C1,1.8994,-0.0004,3.08,0.032,-10.257,3.0605,0.114,-9.72,0.0133,0.00933,-0.00125,-0.00808,0.0423,0.00125,8.57E-07,-0.0133,-2.94,-2.914852285,-2.59,-2.561963691,0.026777713,0.001258596,4.07,-0.01576
4-CF3BBr,c1cc(C(F)(F)F)ccc1(Br),Br,H,H,CF3,17.3,2.047509838,1.8991,3.097,-10.177,C1,1.8998,0.0007,3.112,0.015,-8.796,3.0446,0.121,-9.886,0.013684319,0.009626987,-0.001266869,-0.008360118,0.043575427,0.001266869,9.24E-07,-0.013684319,-3.23,-3.19919441,-2.87,-2.839935706,0.029181074,0.00088322,4.3,-0.01684
4-CH3BBr,c1cc(C)ccc1(Br),Br,H,H,CH3,9.5,2.057444868,1.9043,3.029,-9.472,C1,1.9042,-0.0001,3.064,0.035,-8.203,3.0864,0.105,-9.727,0.0127,0.00887,-0.00122,-0.00764,0.0404,0.00122,1.27E-06,-0.0127,-2.39,-2.359869706,-2.05,-2.024128913,0.023441872,0.002429215,3.76,-0.01416
4-CHOBBr,c1cc(C(=O))ccc1(Br),Br,H,H,CHO,16.8,2.048827521,1.8988,3.087,-10.81,C1,1.8991,0.0003,3.104,0.017,-9.556,3.0483,0.12,-9.849,0.013599248,0.009559782,-0.001262362,-0.00829742,0.043288579,0.001262362,1.57E-06,-0.013599248,-3.17,-3.145403668,-2.82,-2.793451454,0.02574546,0.000803087,4.24,-0.01657
4-ClBBr,c1cc(Cl)ccc1(Br),Br,H,H,Cl,14.6,2.050464725,1.9007,3.093,-9.481,C1,1.9014,0.0007,3.111,0.018,-8.094,3.0565,0.115,-9.949,0.013371694,0.009403478,-0.001255924,-0.008147555,0.042637608,0.001255924,2.10E-06,-0.013371694,-2.95,-2.918868973,-2.59,-2.562881424,0.025596112,0.001522464,4.14,-0.016
4-CNBBr,c1cc(C#N)ccc1(Br),Br,H,H,CN,19.8,2.045283216,1.897,3.121,-10.541,C1,1.8979,0.0009,3.129,0.008,-9.145,3.0333,0.127,-10.012,0.013981868,0.009844308,-0.0012779,-0.008566408,0.044488834,0.0012779,3.08E-06,-0.013981868,-3.49,-3.462578972,-3.12,-3.092807064,0.026547417,0.000645519,4.46,-0.01766
4-COOHBBr,c1cc(C(=O)O)ccc1(Br),Br,H,H,COOH,15.6,2.049916813,1.8994,3.078,-10.771,C1,1.8995,0.0001,3.1,0.022,-9.506,3.053,0.117,-9.841,0.013478828,0.009471846,-0.001257744,-0.008214102,0.04291836,0.001257744,2.20E-06,-0.013478828,-3.06,-3.033660541,-2.71,-2.679750967,0.02903612,0.001212913,4.17,-0.01625
4-FBBr,c1cc(F)ccc1(Br),Br,H,H,F,13.7,2.051163091,1.9021,3.09,-8.798,C1,1.9029,0.0008,3.106,0.016,-7.431,3.0626,0.113,-9.822,0.013213896,0.009288501,-0.00124974,-0.008038761,0.042152962,0.00124974,2.00E-06,-0.013213896,-2.81,-2.786366577,-2.47,-2.442758181,0.025618703,0.001623116,4.06,-0.01559
4-NH2BBr,c1cc(N)ccc1(Br),Br,H,H,NH2,7.5,2.058843497,1.9044,3.05,-8.023,C1,1.9046,0.0002,3.082,0.032,-6.796,3.0952,0.102,-9.792,0.0216,0.0325,-0.00888,-0.0236,0.166,0.00888,2.79E-06,0.0216,-2.19,-2.156200202,-1.85,-1.820265337,0.026645936,0.003088727,3.65,-0.01355
4-NO2BBr,c1cc(N(=O)=O)ccc1(Br),Br,H,H,NO2,20.9,2.04374072,1.8958,3.138,-10.879,C1,1.8968,0.001,3.141,0.003,-9.528,3.0269,0.131,-9.992,0.014153302,0.009970087,-0.001283698,-0.008686389,0.045015141,0.001283698,8.97E-07,-0.014153302,-3.63,-3.597394996,-3.26,-3.23015182,0.029346109,0.00050207,4.55,-0.01812
4-OHBBr,c1cc(O)ccc1(Br),Br,H,H,OH,10.2,2.055360596,1.9035,3.069,-8.337,C1,1.904,0.0005,3.094,0.025,-7.03,3.0811,0.106,-9.804,0.0128,0.00896,-0.00123,-0.00773,0.0407,0.00123,3.98E-06,-0.0128,-2.45,-2.422096058,-2.11,-2.082886444,0.024773448,0.002340108,3.82,-0.0144
4-OOCMeBBr,c1cc(OC(=O)C)ccc1(Br),Br,H,H,OOCMe,11.5,2.053416953,1.9024,3.069,-9.45,C1,1.9028,0.0004,3.093,0.024,-8.104,3.0703,0.11,-9.929,0.013030643,0.009150083,-0.001240649,-0.007909435,0.041562928,0.001240649,1.59E-06,-0.013030643,-2.66,-2.623951431,-2.31,-2.278683825,0.029246335,0.00206984,3.95,-0.0151
4-SHBBr,c1cc(S)ccc1(Br),Br,H,H,SH,12.2,2.05339661,1.9016,3.077,-9.111,C1,1.9021,0.0005,3.101,0.024,-7.776,3.0697,0.11,-9.965,0.013,0.00916,-0.00124,-0.00792,0.0416,0.00124,6.24E-07,-0.013,-2.68,-2.655358909,-2.33,-2.304395604,0.023619457,0.001984938,3.96,-0.01512
BBr,c1ccccc1(Br),Br,H,H,H,10.9,2.055954729,1.9042,3.027,-9.665,C1,1.9041,-0.0001,3.06,0.033,-8.405,3.08,0.107,-9.629,0.012812198,0.008977821,-0.001228553,-0.007749268,0.040825498,0.001228553,7.72E-07,-0.012812198,-2.52,-2.490418037,-2.18,-2.154482577,0.023379749,0.002137674,3.83,-0.01456
opp_H_2-4-6_OH_3-5_CNBBr,c1(O)c(C#N)c(O)c(C#N)c(O)c1(Br),Br,OH,CN,OH,21,2.027898988,1.881,3.429,-5.972,C1,1.8874,0.0064,3.313,-0.116,-3.721,2.9714,0.151,-11.107,0.0155,0.0111,-0.00135,-0.00976,0.0498,0.00135,6.23E-07,-0.0155,-4.13,-4.076768328,-3.71,-3.66114073,0.046793383,0.002065887,5.38,-0.02197
opp_H_2-4-6_OH_3-5_FBBr,c1(O)c(F)c(O)c(F)c(O)c1(Br),Br,OH,F,OH,13,2.035693266,1.8826,3.402,-5.633,C1,1.8877,0.0051,3.315,-0.087,-3.781,3.0083,0.137,-10.555,0.0145,0.0103,-0.00132,-0.009,0.0466,0.00132,2.36E-06,-0.0145,-3.22,-3.17528818,-2.83,-2.785817495,0.040261009,0.003921495,4.71,-0.0186
opp_H_2-4-6_SH_3-5_CNBBr,c1(S)c(C#N)c(S)c(C#N)c(S)c1(Br),Br,SH,CN,SH,25.9,2.029810799,1.8942,3.163,-6.545,C1,1.8978,0.0036,3.116,-0.047,-4.557,2.9652,0.154,-11.08,0.0159,0.0113,-0.00135,-0.00991,0.0504,0.00135,4.38E-07,-0.0159,-4.66,-4.628305253,-4.25,-4.214444308,0.034845602,0.00071009,13.35,-0.02183
opp_H_2-4-6_SH_3-5_FBBr,c1(S)c(F)c(S)c(F)c(S)c1(Br),Br,SH,F,SH,18.9,2.036199648,1.8935,3.172,-6.239,C1,1.8962,0.0027,3.144,-0.028,-4.555,2.9924,0.146,-10.679,0.0151,0.0107,-0.00133,-0.00933,0.048,0.00133,8.98E-07,-0.0151,-3.9,-3.865567456,-3.51,-3.477620384,0.030490687,0.001888929,4.98,-0.02029
